line_no,raw,type,start,end,length_mm,estimated_time_sec,warnings,feedrate,feed_mode,spindle_speed,feed_unit,effective_feed_mm_min,feed_capped,plane,direction,tool_id,event,reference_code,reference_axes,phase2_entry_velocity_mm_s,phase2_exit_velocity_mm_s,phase2_peak_velocity_mm_s,phase2_v_cap_mm_s,phase2_a_cap_mm_s2,phase2_j_cap_mm_s3,phase2_profile_type,phase2_slowdown_ratio,phase2_bottleneck_reason,phase2_segment_count
6,S10000 M03,spindle_event,,,0.0,2.0,,,,,,,,,,,spindle_start,,,,,,,,,,,,0
7,G00 Y54.000 Z300.000,rapid,"0, 0, 0","0, 54, 300",304.8212591011329,3.803808627846071,,,,,,,,,,,,,,0.0,0.19679929407667776,84.67257197253691,84.67257197253691,812.8566909363544,8128.566909363544,full_s_curve_with_cruise,2.079802788396315,acceleration or jerk limited; axis velocity limit; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
8,Z210.346,rapid,"0, 54, 300","0, 54, 210.346",89.654,1.2765811442416373,,,,,,,,,,,,,,0.19679929407667776,1.6706306795731782,83.33333333333333,83.33333333333333,800.0,8000.0,full_s_curve_with_cruise,2.373162647960748,acceleration or jerk limited; axis velocity limit; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
9,G03 X3.500 Y50.500 I3.500 J0.000 F4500,arc,"0, 54, 210.346","3.5, 50.5, 210.346",5.497787143782138,0.274661390858562,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G03,,,,,1.6706306795731782,30.741573643014483,30.741573643014505,75.0,800.0,10000.0,degraded_s_curve_no_cruise,8.356197273309466,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,8
10,X7.000 Y54.000 I0.000 J3.500,arc,"3.5, 50.5, 210.346","7, 54, 210.346",5.497787143782138,0.27782993865448996,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G03,,,,,30.741573643014483,0.07571055302916316,30.744982481532457,75.0,800.0,10000.0,degraded_s_curve_no_cruise,8.92307725367023,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,8
11,G02 Z208.875 I-7.000 J0.000,arc,"7, 54, 210.346","7, 54, 208.875",44.006889274447865,1.0404120605692695,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G02,,,,,0.07571055302916316,50.327141021700555,50.596129296792796,75.0,800.0,10000.0,degraded_s_curve_no_cruise,6.737912857378923,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,42
12,Z207.405 I-7.000 J0.000,arc,"7, 54, 208.875","7, 54, 207.405",44.0068558592126,0.8712739705635836,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G02,,,,,50.327141021700555,50.327141021700555,50.5960904649447,75.0,800.0,10000.0,degraded_s_curve_no_cruise,1.486278758593185,acceleration or jerk limited; short segment speed degradation,42
13,Z205.934 I-7.000 J0.000,arc,"7, 54, 207.405","7, 54, 205.934",44.006889274447865,0.8712737650166456,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G02,,,,,50.327141021700555,50.32716743305844,50.5961292967928,75.0,800.0,10000.0,degraded_s_curve_no_cruise,1.4862776376424822,acceleration or jerk limited; short segment speed degradation,42
14,Z204.463 I-7.000 J0.000,arc,"7, 54, 205.934","7, 54, 204.463",44.006889274447865,0.8712737596165832,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G02,,,,,50.32716743305844,50.32716743305844,50.5961292967928,75.0,800.0,10000.0,degraded_s_curve_no_cruise,1.486277250747457,acceleration or jerk limited; short segment speed degradation,42
15,Z202.992 I-7.000 J0.000,arc,"7, 54, 204.463","7, 54, 202.992",44.006889274447865,0.8712737650166453,,4500.0,G94,10000.0,mm_per_min,4500.0,False,G17,G02,,,,,50.32716743305844,50.327141021700555,50.5961292967928,75.0,800.0,10000.0,degraded_s_curve_no_cruise,1.486277637642472,acceleration or jerk limited; short segment speed degradation,42
